Sentence,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Label
rt morningjewshow speaking jews comedy tonight temple emanu el san francisco words high holidays,1,0,0,0,0,0,0,0,neg
age face recognition thing reason platforms changing avatars actual faces increase affect better communication,0,0,0,0,0,0,0,1,pos
upside moment think network news booked baltimore panels bill cosby fb,0,1,0,0,0,0,0,0,pos
going think create experiences need broad knowledge human experience peopleoverinterfaces ux,0,0,0,0,1,0,0,0,pos
watching thread fb possible future ux speaker crowd suggestions seem white american dudes dream broadly people,0,1,0,0,1,0,0,1,pos
rt thepatrickwalsh kriss kross rapped try rhyme rhyme like rhymed jump jump,0,0,0,0,2,0,0,0,pos
thelancearthur hotdogsladies realize anyone ever made dessert,0,0,0,0,0,0,0,0,neg
wkamaubell stand want men telling sexist either people experts experience,0,0,0,0,0,0,0,0,neg
frogtosser thank becca,0,0,0,0,0,0,0,0,neg
deray thank,0,0,0,0,0,0,0,0,neg
rt iamsakuma hundreds people union square march uptown via th avenue blacklivesmatter http co r x wzem j,0,0,0,0,0,0,0,0,neg
leadership tech oths stop sound system front plaza disturbing neighborhood,0,1,0,0,0,0,0,1,pos
infuriating oakland pd tell authority anything thing school would,0,0,0,0,0,0,0,2,pos
best part heading toronto month hear school system councilmember dankalb ignored,0,0,0,0,0,0,0,2,pos
oakland tech got stadium level audio going giant crowd ppl front skul ignoring neighborhood,0,1,0,1,0,0,0,1,pos
twibnation grassroots media covering ground baltimore ferguson blacklivesmatter movement,0,0,0,0,0,0,0,1,pos
rt camerontw fingers crossed need good news rt pkedrosky ben horowitz lyft investor says uber losing order billion,1,1,0,0,1,1,1,1,pos
grandparents meet mine involved guy named mooch gluskin howigothere fb,0,0,0,0,0,0,0,0,neg
rt ozchrisrock media gonna show pic baltimore citizen lining protect police http c,0,0,0,1,0,0,0,2,pos
studiomondeo sticking mailbox switched phone weirding,0,0,0,0,0,0,0,0,neg
joni mitchell joni mitchell joni mitchell,0,0,0,0,0,0,0,0,neg
bowling alley japanese toilet seats surprise google today wait women bathroom,0,1,1,1,1,0,1,0,pos
rt joshaclu question someone going rule marriage equality http co staktjvgsg,0,1,0,1,2,0,0,3,pos
ellenpapadakis completely separate note,0,0,0,0,0,0,0,0,neg
ellenpapadakis hey civ pro oregon bakery case,0,0,0,1,0,1,0,0,neg
ellenpapadakis best thing world would get epc think,0,0,0,0,0,0,0,0,neg
ellenpapadakis provided claim legit public policy exception thought state whatever wants enough,0,2,0,0,0,0,0,1,pos
ellenpapadakis ancient recollection provided course nothing hanged always really ffand c,0,0,0,0,0,0,0,0,neg
ellenpapadakis giving talk able listen read mentioned facts life,0,0,0,0,0,0,0,1,pos
bookmeister studiomondeo nope thanks giving shot,1,0,0,1,0,1,1,0,neg
finding mailbox either crashing hanging happening,1,0,1,1,0,1,0,0,neg
jshahryar except desire design game called cocktail party worked bill gross first cd rom start,0,1,1,0,0,0,0,0,neg
jshahryar game really enjoyed one much galaga added two buttons game forgot genre,0,0,0,0,0,0,0,0,neg
scottjohnson keep em,0,0,0,0,0,0,0,0,neg
joan rivers get mark twain award posthumously next year twainforjoan fb,0,1,0,0,1,0,1,1,pos
sharkyl aw every nerd knows social cue miss used tech biz btw bandagon looks v cool,0,1,0,0,0,0,0,0,pos
sharkyl seemed like maybe nice shook hand went ironically niagara falls ny,0,0,0,0,0,0,0,0,neg
thxmt sharkyl heathr great set thur st time seeing talking guy actually sweet disablities handled great,0,2,0,0,1,0,1,1,pos
sharkyl sad,0,0,0,0,0,0,0,0,neg
lizgannes congrats,0,0,0,0,0,0,0,0,neg
kenyatta jah justin show great made miss conversation great making inspiration,0,1,0,0,1,0,0,1,pos
dearsarah already successful hero making strides upstart every woman every person bit go,0,2,0,0,2,0,1,2,pos
dearsarah yup reminds streep quotes witw core challenge get men identify women protagonists,1,0,0,1,0,0,0,0,neg
rt dearsarah heathr similarly though majority twitter bod graduate college hillary clinton initially consider,0,0,0,0,1,0,0,1,pos
dearsarah reminds people responded idea female host tds already proven double standard limiting,0,0,0,0,0,0,0,1,pos
burstofbeaden congrats jon,0,0,0,0,0,0,0,0,neg
ripplecreeknw sprawlgeek disagree tech makes people behave badly responsibility lies us humans,1,0,0,0,0,1,0,0,neg
twitter good enough history gender read way jlp heathr headline news facetious,0,1,0,0,1,0,1,1,pos
believe hell hard find ugly feminist jewish,1,0,2,1,0,1,0,0,neg
really twitter wrote encapsulation trend dickc ev rosenblattdavid karaswisher http co ushk wzp h,0,0,0,0,0,0,0,0,neg
page interesting way world capital believes hack usefulness spiritual practice without spirituality,0,0,0,0,0,0,0,0,neg
documentally maintenance change appealing,0,0,0,1,0,0,0,1,neg
jenafriedman guessing hundreds something publicly spoken,0,0,0,0,0,0,0,0,neg
picked another spectacular middle aged accomplishment slept night last night newsuperpower fb,0,1,0,0,0,0,1,0,pos
elisac sprawlgeek privileging corporate liability shield politics positive connection responsibility,1,0,0,0,0,0,0,0,neg
elisac sprawlgeek things together together erasure uniqueness,0,0,0,0,0,0,0,0,neg
elisac sprawlgeek believe bigger broader older current tech biz core emotional issue,0,0,0,0,0,1,0,0,neg
elisac sprawlgeek sustained value dismantling shared resources sense shared involvement ie public education,1,1,0,0,1,0,0,1,pos
elisac sprawlgeek think lot problem big capital funds names know direction invest exits vs,0,0,0,1,0,1,0,0,neg
sarahgranger elisac dooce makes life better business tech law medicine etc serve people reverse,0,0,0,0,0,0,0,2,pos
sprawlgeek elisac mylifeasaghost ripplecreeknw cyberselfish book paulina borsook saw happening tech first,0,0,0,0,0,0,0,0,neg
elisac saw women thing hollywood casting prove keep work,0,0,0,0,0,0,0,0,neg
oy vey price elisac heathr hey selected booth babes booths act cool notproud,0,0,0,0,0,0,0,0,neg
ripplecreeknw thanks v kind,0,0,0,0,1,0,0,1,pos
elisac web felt clearly like people lots early women inc dooce early blogging pre blogging software v human,0,0,0,0,0,0,0,0,neg
elisac really interesting early web times felt like liberal arts nerd table bonanza hardware mature biz ie booth babes,0,0,0,0,1,0,0,0,pos
rt elisac heathr ah see traditional tech hardware systems internet early oughts super male dominated,0,0,0,0,0,0,0,0,neg
elisac still part group called end humanizing capital laid waste impulses leading,0,0,1,0,0,0,0,1,neg
elisac felt better woman coming early web valley bc women product hollywood,0,1,0,0,0,0,0,0,pos
elisac mylifeasaghost wrote cyberselfish early saw impulse first right would rule,0,0,0,1,0,0,0,1,neg
elisac general leftover hippiness still everything well feeling nerd table earnestness,1,1,1,1,1,1,1,2,pos
elisac also culture sharing information ideas problem solving still felt w developers fluentconf week,0,0,0,1,0,1,0,0,neg
elisac developers time time orientation education open people able use stuff,0,2,0,0,0,0,0,0,pos
elisac well coming hollywood seemed entire notion platform meant people trying encourage,0,1,0,0,1,0,0,1,pos
elisac earlier tech community felt full caring centre make healthiness goal scale,0,0,0,0,0,0,0,0,neg
elisac choices connected substituting words choice freedom care,1,0,0,0,1,0,0,1,pos
elisac one even insidious think going last longer upside downside shows dehumanization,1,0,1,1,0,0,0,0,neg
elisac need giant relational reboot look like put well everyone work first inc us,0,0,0,1,0,0,0,0,neg
elisac focussed amazing ux customers create good things critical creating fetish,0,1,0,0,2,0,1,1,pos
elisac absolutely many businesses funded way presume obligation employees,0,0,0,0,0,0,0,0,neg
rt elisac heathr makes concerned abt sharing collaborative economy economy unless change social appr,0,0,0,2,0,1,0,2,neg
elisac otherwise building matrix entrap way use capital choice many see magically charge,0,0,0,0,0,0,0,0,neg
elisac culture says shines tech support good life interested,0,1,1,0,1,1,1,1,pos
great talks pinboard baconmeteor elisac heathr sounds like heaven lifestylebusiness,0,0,0,0,0,0,0,0,neg
rt elisac heathr build business supports family maybe employees lifestyle enjoy proud con,0,2,0,0,2,0,0,2,pos
rt elisac heathr agree whenever speak publicly abt entrepreneurism mention despite general disdain around term lifesty,1,0,1,0,0,0,0,1,neg
elisac valley capital culture general seek scale else put good life community first,0,2,0,0,1,0,1,2,pos
elisac sure also smaller scale work sustainable good life,0,1,0,0,1,0,1,1,pos
rt elisac heathr well exactly like solo consultant lack scale exists business including one,0,0,0,0,0,0,0,0,neg
elisac blogging mediums go away way use culture changes,0,0,0,0,0,0,0,0,neg
elisac know seems like pretty specific thing limits individual personal blogging large audience,0,2,0,0,1,0,0,2,pos
kottke tcarmody think made change public rock throwing happen would need treat better,1,3,1,2,1,1,1,1,pos
rt afameducation congratulations first black female attorney general united states lorettalynch confirmation http,1,0,0,1,0,1,0,4,pos
rt shannondowney little help folks confused brucejennerabc talking gender identity vs sexual orientation http,0,0,0,0,0,0,0,0,neg
strong focused athletic competitive make man women gender make someone reckon,0,0,0,0,0,0,0,0,neg
bruce jenner one example strong focused athletic women happily qualities restricted one gender,0,0,0,0,1,0,0,0,pos
feminism ending restrictions based gender categories ending restrictions woman brucejenner,0,0,0,0,0,0,0,0,neg
bruce jenner concept woman maybe already wrong woman,0,0,0,0,0,0,0,0,neg
rt thetaskforce beyond bruce jenner transgender women accessed homeless shelter physically assaulted http,1,1,1,1,0,1,0,1,neg
cannot feel known something everyone wants anything ppl come,0,0,0,0,0,0,0,0,neg
coming time always vulnerable powerful kudos bruce jenner everyone else,1,3,1,1,2,0,0,1,pos
case dying curiousity including one timer face yoselftweet fb http co ttjd k b j,1,0,1,2,0,2,0,0,neg
found drive first tournament game california hockey championships fb,0,0,0,0,1,0,0,1,pos
mt harnischfound likely survivor sexualassault drop college thn person found guilty expelled aelizabethclark,1,0,0,0,1,1,0,1,neg
rt joan rivers joan nytimes bestseller paperback new material diaryofamaddiva joanrivers http co nk ghxnfg,0,0,0,0,0,0,0,0,neg
single person looks good baggy wool cap barely clinging noggin fb,0,2,0,0,1,0,1,2,pos
mattthomas apologies interrupting,0,0,0,0,0,0,0,0,neg
mattthomas economic problems imo often extensions form dehumanization wrapped locke sandwich,0,0,0,0,0,0,0,0,neg
mattthomas divide conquer persists unite someone else ass,0,0,0,0,0,0,0,0,neg
mattthomas like us thriving democracy every everyone first nations people,0,1,0,0,1,0,0,0,pos
mattthomas plenty thriving democracy cathart onto minorities ways diffuse real economic problems,0,1,0,0,1,0,0,1,pos
mattthomas know going holocaust museum berlin made pretty clear boom maybe yrs coming,1,2,1,1,1,1,0,1,neg
thejeffdavidson kthalps debs historic,0,0,0,0,0,0,0,0,neg
benjammingh sf minimum wage,0,0,0,0,0,0,0,0,neg
paid park hours mission show fb,0,0,0,0,0,0,0,1,pos
rt sherman alexie number hours per week rick santorum spends deeply thinking gay men,0,0,0,0,0,0,0,0,neg
peterc thanks peter,0,0,0,0,0,0,0,0,neg
annehelen idea happened walk sandlers film v interesting find,0,0,0,0,0,0,0,0,neg
annehelen think problem punching case even aware using someone punching bag,0,0,0,2,0,2,0,0,neg
jenafriedman share sentiment oy headline asked getting started advice always suggest watching bad open mics,1,1,1,1,1,1,0,3,pos
caseymalone pleasure took years dawned feeling good person part damn therapy,2,2,2,1,2,1,2,2,pos
caseymalone toll asking minute free meetings feel whether comfortable w space,0,0,0,0,0,0,0,0,neg
caseymalone really dejecting good place disappointed reach decrease,1,1,1,0,1,1,1,1,pos
caseymalone casey give liking provider critical care good,0,1,0,0,2,0,1,2,pos
yesterday crowd work javascript coders today comedy chabad codeswitch fb,0,0,0,0,0,0,0,0,neg
weezus love,0,0,0,0,1,0,0,0,pos
clevejones grateful work alive xo,0,1,0,0,1,0,0,1,pos
amoskane thank fun talking thanks lez dish enough javascript conferences,0,1,0,0,1,0,0,0,pos
rt amoskane omg met heathr fluentconf real freaking heather gold freaking heather gold glasses everything omggggg,0,0,0,0,0,0,0,1,pos
thejeffdavidson thanks himand morning joe copying us pretty good kthalps,0,2,0,0,2,0,1,2,pos
fluentconf thanks help josh great meet,0,0,0,0,0,0,0,0,neg
rt fluentconf st meetup rocking start talking react w holtbt heathr community lounge fluentconf http,1,1,0,1,0,0,0,0,neg
tummeling react meet fluentconf really fun helping people solve problems fluentconf fb http co p h spthr,1,1,0,1,1,0,0,0,neg
hillary hey introducing zahedab us fluentconf digital gov work uk would love meet f,0,0,0,0,1,0,0,0,pos
rt peterc heathr fluentconf retweet,0,0,0,0,0,0,0,0,neg
pleasure finally meet kathy sierra person much talk new book looks fantastic fluentconf fb,0,1,1,0,1,0,1,1,pos
hi everyone fluentconf looking forward meeting today say hello want talk fluentconf fb,0,0,0,0,0,0,0,0,neg
residence fluentconf next two days making interesting conversations happen looking forward seeing kathy sierra,0,1,0,0,0,0,0,0,pos
like reo time fly fb,0,1,0,0,0,0,0,0,pos
look forward commercials movies attractive man romantically excited bud light dog animated cuddly bear,1,1,0,1,2,0,1,1,pos
thanks jim cool spot show thanks jimhegarty heathr zachsherwin thanks much show great set,0,0,0,0,0,0,0,2,pos
happy set la tonight nice words sean patton many thanks zachsherwin jimhegarty ftstweets fb,1,1,0,0,1,0,0,1,pos
biggest disappointment latimefob writers giving standing ovation actor writers fb,0,0,1,0,0,2,0,0,neg
lovely time burstofbeaden thanks mirand,0,2,0,0,1,1,1,1,pos
guys got tell roz chast loved book really beautiful drawings mother dying remarkable fb,1,1,1,1,3,2,1,2,pos
buzz sounds right maybe people la find oklahoma restaurants large marfa,0,1,0,1,0,0,0,0,neg
rt goldsbie lakoff short respond bullshit questions statements reinforce broader premises,0,0,0,0,0,0,0,0,neg
buzz ha anyone think travelling nyc,0,1,0,1,0,0,0,0,neg
rt hoserlibrarian heathr spend even less time listening u,0,1,0,0,0,0,0,0,pos
could get back appreciate wham lot fb,0,0,0,0,0,0,0,0,neg
downtown la beautiful lived came cafeterias occasional friend visit warehouse fb,0,0,0,0,2,0,1,1,pos
coming sf la restaurants taunt hugeness space matter jog restroom,1,1,0,1,0,1,0,0,neg
vivalacho remoteryan marikotamaki glad one could make fortune renting rooms steak bed razor blades,0,2,0,1,2,0,1,1,pos
guys want fall asleep second finished meal remoteryan vivalacho marikotamaki,0,0,0,0,0,1,0,0,neg
public service announcement lose loose different words,2,2,1,1,0,1,1,0,neg
rt morningjewshow please send good vibes mshaberach spell kthalps uncle ricky,0,1,0,0,1,0,1,1,pos
please announce residence fluentconf helping interesting conversations connections happen props peterc fb,0,1,0,0,0,0,0,0,pos
bagel lox airport traitor people fb,1,1,1,1,0,1,0,0,neg
bagel lox airport traitor people fb,1,1,1,1,0,1,0,0,neg
rt peterc sarasoueidan positive great stuff heathr expert great google tech talk slightly fan,0,0,0,0,0,0,0,1,pos
silicon valley make recommendation clear fiorina running presidential nom based business record,0,0,0,0,0,0,0,0,neg
rt malouie hillary clinton looking ux designer heard right message interested http co sqjactw u,0,0,1,0,0,1,0,0,neg
la performing french toast comedy taix sunday night fb,0,0,0,0,1,0,0,0,pos
hannahnordhaus sorry able make yesterday hope reading went well see reunion,0,2,0,0,1,0,1,2,pos
know email spammed fucking gall asking enter get rid everyotherlist fb,1,0,1,0,0,0,0,0,neg
latimes festival books morningjewshow fans interview possibilities let know think good jews,0,2,0,0,2,0,2,1,pos
sarahm thanks passing dearsplenda piece much experience uncomfortable jonronson,0,0,0,0,0,0,0,0,neg
rt ppact pm est join us twitter storm say need equalpaynow better http co z,1,0,0,0,0,0,0,0,neg
last tweet via jeremiah wallace,0,0,0,0,0,0,0,0,neg
kithonline love tour photo hoping means one banjo number bomb pic,1,0,0,1,1,1,1,0,neg
debcha dealing ivy league alma mater th reunion class central really shameful,0,1,0,0,0,1,0,1,pos
rt lauraclawson serious cuteness team hillary http co idg aqbxkh,0,0,0,0,0,0,0,1,pos
monstro course,0,0,0,0,0,0,0,0,neg
monstro pleasure would love audio interview important fan flames honesty,0,0,0,0,1,0,0,2,pos
yvesbehar remember,0,0,0,0,0,0,0,0,neg
lukedanielswpg welcome,0,0,0,0,0,0,0,0,neg
worth checking last chunk monstro timeline start founder realness especially think raising means,0,1,0,0,0,0,0,0,pos
special occasion americans look away find leadership alternative hillary clinton video fb,0,0,0,0,1,0,0,0,pos
sukhjit zoning anagram requirement,0,0,0,0,0,0,0,0,neg
bay area going kithonline also admire tour photo great david hawe,0,0,0,0,0,0,0,1,pos
dweinberger feel like person best chance beat also husband,0,0,0,0,0,0,1,0,pos
rt evilllamas http co dukj yilrn,0,0,0,0,0,0,0,0,neg
hillary diversity terrific like fast furious political announcement ads,1,1,1,0,0,1,0,0,neg
jessicachaffin working tuchus latest ronnaandbeverly w least helpful interviewee ever heard,0,0,0,0,1,0,0,1,pos
benschwartzy sadydoyle yeah feel like linked much masculine anxiety vulnerability fear emotion,2,1,0,3,0,2,0,0,neg
dweinberger thrill consider first woman president also know problems us facing need radical soon,0,1,0,1,1,0,1,1,pos
dweinberger counting gop maintain unlike ability increase,0,0,0,0,0,0,0,0,neg
rt sadydoyle boy howdy looking forward wading liberals creepy unacknowledged neuroses female power th,0,0,1,0,0,1,0,0,neg
timoreilly pahlkadot mazel tov guys,0,0,0,0,0,0,0,0,neg
rt changeist heathr point contained traditional duopoly future unitary parties,0,0,0,0,0,0,0,0,neg
changeist maybe something seems unforseen happen,0,1,0,0,0,0,0,0,pos
changeist gop base though libertarian politics amplify poverty problem think dems go,2,0,1,2,0,2,0,1,neg
big hilary clinton question moment win looks inevitable willshescrewitup,0,0,0,0,0,0,0,0,neg
changeist think us politics may begin look much like israel internal politics christian religious population,2,0,0,0,0,0,0,0,neg
changeist also think tax billionaires naive candidates population think control,0,0,0,0,0,1,0,0,neg
changeist big libertarian money though like w cruz keep funding religious theocracy think culture war also distraction,1,1,0,1,1,0,1,1,pos
changeist guessing see tech workers w good jobs making good money able afford live sf,1,3,0,0,3,0,3,3,pos
yup feel ironically thing ends shame openness changeist heathr nobody wants talk shame,0,0,2,2,0,2,0,0,neg
changeist something butch say street life making tough market dorothea lange would called whiner,0,0,0,0,0,1,0,0,neg
changeist seem like hold vulnerability economic loss seems like forbidden topic public,1,1,0,2,0,2,0,0,neg
changeist yes economics situation keep folks investment busy anything afraid survival employment,0,0,0,1,0,0,0,0,neg
changeist without class movement limit fascism,0,0,0,0,0,0,0,0,neg
changeist gop citizens united billionaire candidate buy direction lead meaningful class movement,0,0,0,0,0,0,0,1,pos
rt theferocity job women writers color teach straight white men read diverse work read wor,0,1,0,0,2,0,1,2,pos
rt heerjeet cruz plus sugar daddy potent combination ostensible frontrunner jeb bush vulnerable host reasons,0,0,0,0,0,0,0,0,neg
rt heerjeet long term though cruz ascendency bad dems gop push american politics even h,2,1,1,1,0,1,0,0,neg
rt heerjeet short term cruz ascendency great news dems make gop toxic national level amp insure hillar,0,0,1,0,0,0,0,2,pos
rt heerjeet line cruz always imagine joseph mccarthy goldwater twice iq points dangerous man,0,0,0,1,0,0,0,0,neg
middle age spending saturday cleaning bookshelf receipts feeling like goddamned genius thebardrops fb,1,1,1,1,1,1,1,1,neg
happy end passover everyone san francisco plagues http co x jvy,0,1,0,0,1,0,0,1,pos
rt newyorktheater tremble whole life rehearsal moment rip livingtheatre judith malina http co,0,0,0,0,0,0,0,0,neg
rt feldmanadam patti lupone bridgeteverett hall oates motorboat best seconds history http co vcwzkipgyt,0,0,0,0,0,0,0,0,neg
wish fallon show would kill min every guest bit line reading next spontaneously,0,0,0,1,0,1,0,1,neg
heard human quacking realized duck boat pulled next light fb,0,0,0,0,0,0,0,0,neg
billmckibben worked african divestment yale though took sometime,0,0,0,0,0,0,0,0,neg
one gives ronaldoca heathr seriousness jewish deli worth salt open passover http co pbpq iuanf,0,0,0,1,0,1,0,0,neg
jewish deli watched guy order mayo fb,0,0,0,0,0,0,0,0,neg
steverolston thank,0,0,0,0,0,0,0,0,neg
melissapierce aw marikotamaki morningjewshow,0,0,0,0,0,0,0,0,neg
interviewing sweetheart writer marikotamaki morningjewshow right questions,0,1,0,0,1,1,0,1,pos
dated since moved phone apps good incentive make relationship work fb,0,1,0,0,1,0,1,1,pos
rt timcarvell unsolicited advice get tickets fun home say saw every prize,0,1,0,0,1,0,0,1,pos
barsoomcore congrats corey,0,0,0,0,0,0,0,0,neg
simongdunham really important piece could get accurate count wonder ge country sick way,0,0,1,0,0,1,0,3,pos
know kaporcpital therealfreada mkapor unusual commitment think trend w vcs like design design partners,0,0,0,0,0,0,0,0,neg
keep yr name clean wb guru still amazed delasoul raised k days asking k respect lasts forever,0,1,0,0,2,0,0,3,pos
bruces thinking quite often days every time hear tech scion mention universal income,0,2,0,0,1,1,0,1,pos
debcha canadian,0,0,0,0,0,0,0,0,neg
rt sandmansimonds art exist confirm understanding world,0,1,0,0,1,1,1,1,pos
unexpected far seem seems come part present enjoying piece filmmakinglabs one day study w,0,3,0,1,3,0,2,2,pos
began experimenting w making interactive pieces tummeling found unexpected engaging conflict cc filmmakinglabs,1,1,0,2,3,1,1,2,pos
night good people fb,0,1,0,0,1,0,1,1,pos
wonderful seder happy pesach easter night good people liberation seems like inevitable suffering fb,0,3,1,1,4,1,3,3,pos
rt itswanda even democracy become irrelevant capitalism longer needs democracy function zizek,0,0,0,0,0,0,0,0,neg
regret abt living oakland living next oakland tech high plays stadium level music outside weekly kids,0,0,0,0,1,2,0,1,neg
children assembling white house lawn afternoon hunt afikomen happen monica lewinsky president,0,2,0,0,1,0,0,2,pos
water shortage like hiv epidemic searing reminders connected isolation option fb,2,1,1,2,0,3,1,0,neg
liberty justice lieseveryonetells fb,0,1,0,0,1,0,1,2,pos
oh shit curses coming every entitled dude bay comes end orders unnecessarily complicated cocktail thelex,1,1,1,0,0,0,0,0,neg
backs profiled tech guys cause wearing betarand shirts tucked salmon coloured pants thelex,0,0,0,0,0,0,0,0,neg
want straight people know feels like wait work search room stand around people like fb,0,1,0,0,0,0,0,0,pos
tayhatmaker making regret write queers queer life years write enough,0,0,0,0,0,1,0,0,neg
tayhatmaker recorded lexington archive project,0,0,0,0,0,0,0,0,neg
tayhatmaker possible room feel time city still dangerous,0,1,0,1,0,0,0,0,neg
